brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_gmall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_xentro,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
gsn wireless,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GSN WIRELESS
urban concepts,0,0,1,0,0,0,0,0,2,0,0,0,3,2,False,True,URBAN CONCEPTS
great smile dental center,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GREAT SMILE DENTAL CENTER
bakers percent,0,0,0,0,0,0,0,1,0,0,0,2,3,2,False,True,BAKERS PERCENT
stuffd,0,0,0,0,0,3,0,0,0,0,0,0,3,1,False,False,Stuff'd
going straight,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GOING STRAIGHT
vendocorp,0,0,0,0,0,0,0,0,0,0,0,3,3,1,False,False,VENDOCORP
eds electrocomputer data system,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,EDS Electrocomputer Data System
landers superstore,0,1,0,0,0,2,0,0,0,0,0,0,3,2,False,True,Landers Superstore
landmark,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,LANDMARK
vente,1,0,0,1,0,0,0,1,0,0,0,0,3,3,False,True,VENTE
zion,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,ZION
sisig sarap,0,1,0,0,0,0,0,2,0,0,0,0,3,2,False,True,SISIG SARAP
sues cake gallery,0,0,0,0,0,1,0,1,1,0,0,0,3,3,False,True,Sue's Cake Gallery
gold blvd,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GOLD BLVD
sissys nail art and spa,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SISSY'S NAIL ART AND SPA
ollie & co,0,1,0,0,0,2,0,0,0,0,0,0,3,2,False,True,Ollie & Co.
clipdata computer center,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,CLIPDATA COMPUTER CENTER
ojo signature kids,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,OJO SIGNATURE KIDS
reli tours,0,0,0,0,0,1,0,0,2,0,0,0,3,2,False,True,RELI TOURS
sit & relax,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,SIT & RELAX
latt liv,0,0,0,0,1,0,0,2,0,0,0,0,3,2,False,True,LATT LIV
verzion,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,VERZION
lavelier,0,1,0,0,0,1,0,0,1,0,0,0,3,3,False,True,LAVELIER
renegade folk,0,2,0,0,0,1,0,0,0,0,0,0,3,2,False,True,RENEGADE FOLK
cmg,0,0,0,0,0,1,1,0,1,0,0,0,3,3,False,True,CMG
editors market,0,0,0,0,0,2,0,1,0,0,0,0,3,2,False,True,The Editor's Market
ckk mobile,0,0,0,0,0,0,0,1,0,0,0,2,3,2,False,True,CKK MOBILE
kyu kyu ramen,0,0,1,0,0,0,0,1,1,0,0,0,3,3,False,True,Kyu Kyu Ramen
one zo tapioca,0,2,1,0,0,0,0,0,0,0,0,0,3,2,False,True,ONE ZO TAPIOCA
kyu ramen express,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,KYU RAMEN EXPRESS
ooma,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,OOMA
citizen,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,CITIZEN
citrus alley,0,0,0,0,0,0,0,0,2,0,1,0,3,2,False,True,CITRUS ALLEY
la churrera,0,0,1,0,0,0,0,0,2,0,0,0,3,2,False,True,LA CHURRERA
ds jewelry,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,DS JEWELRY
grandas sweets and delicacies,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,GRANDAS SWEETS AND DELICACIES
la elegancia,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,LA ELEGANCIA
sunglass hut,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,SUNGLASS HUT
showcase carpets,0,3,0,0,0,0,0,0,0,0,0,0,3,1,False,False,SHOWCASE CARPETS
3 sisters green thumb,0,0,1,0,0,0,0,0,2,0,0,0,3,2,False,True,3 SISTERS GREEN THUMB
vanity box,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,VANITY BOX
sunburst fried chicken,0,2,0,0,0,0,0,0,1,0,0,0,3,2,False,True,SUNBURST FRIED CHICKEN
one vape,0,0,0,0,0,2,0,1,0,0,0,0,3,2,False,True,One Vape
zion philippines,0,2,1,0,0,0,0,0,0,0,0,0,3,2,False,True,ZION PHILIPPINES
vault,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,THE VAULT
backjoy,0,0,0,0,0,0,0,1,2,0,0,0,3,2,False,True,BACKJOY
back alley barbershop,0,1,0,0,0,2,0,0,0,0,0,0,3,2,False,True,Back Alley Barbershop
omega,0,1,0,0,0,1,0,0,1,0,0,0,3,3,False,True,OMEGA
sumo niku,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,SUMO NIKU
mobile fit,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,MOBILE FIT
watch metro,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,THE WATCH METRO
robinsons homes,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Robinsons Homes
dental city,0,1,0,0,0,0,0,0,2,0,0,0,3,2,False,True,DENTAL CITY
fino,0,0,0,0,0,0,1,1,1,0,0,0,3,3,False,True,FINO
sams everything on stick,0,0,0,0,0,0,0,3,0,0,0,0,3,1,False,False,Sam's Everything On Stick
mandarin chinese drug center,0,0,0,0,0,0,0,2,1,0,0,0,3,2,False,True,Mandarin Chinese Drug Center
wouldulike specialty coffee,0,0,0,0,0,0,0,0,3,0,0,0,3,1,False,False,WOULDULIKE SPECIALTY COFFEE
delonghi,1,2,0,0,0,0,0,0,0,0,0,0,3,2,False,True,DELONGHI
