chain,mall_id,mall_name,region,address,mall_code,source_url,property_type,scraped_at
sm,smdc-strip-at-sea,SMDC Strip at Sea,metro-manila,"Sunrise drive cor. Pearl Road, Mall of Asia Complex, CBP-1A, Pasay City",SEA1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-sea/information/,residential-retail,2026-07-26
sm,smdc-strip-at-shell,SMDC Strip at Shell,metro-manila,"EDSA cor. Sunrise Drive, CBP 1-A, Pasay City",SHL1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-shell/information/,residential-retail,2026-07-26
sm,smdc-strip-at-shine,SMDC Strip at Shine,metro-manila,"Renaissance Center Meralco Ave., Brgy. Ugong, Pasig City",SHN1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-shine/information/,residential-retail,2026-07-26
sm,smdc-strip-at-shore,SMDC Strip at Shore,metro-manila,"Seaside Blvd. and Sunrise Drive, Mall of Asia Complex, Pasay City",SHR1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-shore/information/,residential-retail,2026-07-26
sm,smdc-strip-at-trees,SMDC Strip at Trees,metro-manila,"Brgy. Pasong Putik, Novaliches, Quezon City, Metro Manila",TRE1,https://www.smsupermalls.com/mall-directory/smdc-strip-at-trees/information/,residential-retail,2026-07-26
sm,smdc-sun-mall,SMDC Sun Mall,metro-manila,"Espana Boulevard corner Mayon Street, Barangay Sta. Teresita, Quezon City",SUN1,https://www.smsupermalls.com/mall-directory/smdc-sun-mall/information/,residential-retail,2026-07-26
sm,the-podium,The Podium,metro-manila,12 ADB Ave. Ortigas CDB,SMKL,https://www.smsupermalls.com/mall-directory/the-podium/information/,mall,2026-07-26
sm,wind-residences,Wind Residences,south-luzon,"Tagaytay - Nasugbu Hwy, Tagaytay, Cavite",WND1,https://www.smsupermalls.com/mall-directory/wind-residences/information/,residential-retail,2026-07-26
robinsons,opus,Opus Mall,metro-manila,"Opus, Bridgetowne Destination Estate, Quezon City, Philippines",,https://robinsonsmalls.com/mall-info/opus,mall,2026-07-26
robinsons,robinsons-cainta,Robinsons Cainta,metro-manila,"Ortigas Ave. Extension, Brgy. Sto. Domingo, Cainta, Rizal",,https://robinsonsmalls.com/mall-info/robinsons-cainta,mall,2026-07-26
robinsons,robinsons-galleria-ortigas,Robinsons Galleria,metro-manila,"EDSA cor. Ortigas Avenue, Quezon City",,https://robinsonsmalls.com/mall-info/robinsons-galleria-ortigas,mall,2026-07-26
robinsons,robinsons-magnolia,Robinsons Magnolia,metro-manila,"Aurora Blvd. corner Dona Hemady St., Quezon City",,https://robinsonsmalls.com/mall-info/robinsons-magnolia,mall,2026-07-26
robinsons,robinsons-metro-east,Robinsons Metro East,metro-manila,"Marcos Highway, Barangay Dela Paz, Pasig City",,https://robinsonsmalls.com/mall-info/robinsons-metro-east,mall,2026-07-26
robinsons,robinsons-novaliches,Robinsons Novaliches,metro-manila,"Brgy. Pasong Putik, Quirino Highway, Novaliches, Quezon City",,https://robinsonsmalls.com/mall-info/robinsons-novaliches,mall,2026-07-26
robinsons,robinsons-otis,Robinsons Otis,metro-manila,"Brgy. 831 Zone 90 Dr. Paz Mendoza-Guanzon St. Paco, Manila",,https://robinsonsmalls.com/mall-info/robinsons-otis,mall,2026-07-26
robinsons,robinsons-antipolo,Robinsons Place Antipolo,metro-manila,"Sumulong cor. Circumferential Road, Brgy. Dela Paz, Antipolo City",,https://robinsonsmalls.com/mall-info/robinsons-place-antipolo,mall,2026-07-26
robinsons,robinsons-las-pinas,Robinsons Place Las Pinas,metro-manila,"Alabang-Zapote Road, Las Piñas",,https://robinsonsmalls.com/mall-info/robinsons-place-las-pinas,mall,2026-07-26
robinsons,robinsons-manila,Robinsons Place Manila,metro-manila,"Pedro Gil cor. Adriatico Streets, Ermita, Manila",,https://robinsonsmalls.com/mall-info/robinsons-place-manila,mall,2026-07-26
