brand_key,n_malls_araneta,n_malls_ayala,n_malls_filinvest,n_malls_fishermall,n_malls_megaworld,n_malls_ortigas,n_malls_robinsons,n_malls_sm,n_malls_starmall,n_malls_waltermart,n_malls_total,n_chains,in_all_chains,in_multiple_chains,display_name
nailaholics,0,0,0,0,0,1,1,48,0,0,50,3,False,True,NAILAHOLICS
sports central,0,0,0,0,0,2,0,48,0,0,50,2,False,True,SPORTS CENTRAL
cafe mary grace,0,11,1,0,1,0,0,37,0,0,50,4,False,True,CAFE MARY GRACE
rulls,0,7,1,0,0,0,18,7,1,16,50,6,False,True,Rulls
anytime fitness,0,11,2,2,7,1,5,21,0,0,49,7,False,True,ANYTIME FITNESS
skechers,1,12,1,0,4,1,15,15,0,0,49,7,False,True,SKECHERS
world of fun,0,0,1,0,0,0,4,32,0,12,49,4,False,True,WORLD OF FUN
picture city,0,9,0,1,0,0,15,11,1,12,49,6,False,True,Picture City
brunos barbers,0,15,1,0,5,2,5,20,0,0,48,6,False,True,BRUNO'S BARBERS
robinsons appliances,1,3,1,0,0,0,42,0,0,0,47,4,False,True,Robinsons Appliances
brownies unlimited,0,1,0,1,0,0,1,44,0,0,47,4,False,True,BROWNIES UNLIMITED
hey sugar waxing salon,0,12,1,0,0,0,1,33,0,0,47,4,False,True,HEY SUGAR WAXING SALON
dunkin donuts,0,16,0,2,0,0,23,4,2,0,47,5,False,True,Dunkin' Donuts
mendrez,0,6,1,0,0,0,6,34,0,0,47,4,False,True,MENDREZ
sunnies studios,1,6,1,0,2,1,7,28,0,0,46,7,False,True,SUNNIES STUDIOS
chizmozza,0,5,1,2,1,0,14,21,0,2,46,7,False,True,CHIZMOZZA
adidas,0,10,1,1,5,2,10,16,0,0,45,7,False,True,ADIDAS
buko express,0,2,1,0,1,0,10,22,0,9,45,6,False,True,BUKO EXPRESS
cellboy,0,0,0,0,0,0,0,43,2,0,45,2,False,True,CELLBOY
i watch straps batteries center,0,0,0,0,0,0,0,45,0,0,45,1,False,False,I-WATCH STRAPS BATTERIES CENTER
tecno,0,3,0,1,0,0,13,23,0,5,45,5,False,True,TECNO
broadway gems,2,11,2,0,0,0,20,7,2,1,45,7,False,True,BROADWAY GEMS
memo,0,6,2,0,1,1,4,31,0,0,45,6,False,True,MEMO
beauche international,0,2,0,0,0,0,5,34,0,4,45,4,False,True,BEAUCHE INTERNATIONAL
macbeth,1,0,0,0,0,0,6,37,0,0,44,3,False,True,MACBETH
onesimus,0,5,1,0,0,0,7,31,0,0,44,4,False,True,ONESIMUS
lets face it,0,3,1,0,0,0,2,38,0,0,44,4,False,True,LETS FACE IT
datablitz,0,16,1,0,2,0,4,20,0,0,43,5,False,True,DATABLITZ
